"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","7.069","1879031559.756","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","10.31","232739166.89","n/a","1985","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","14.92","140046535.24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ETF","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","21.79","179694830.35","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/etf",
"FCO","Aberdeen Global Income Fund, Inc.","13.24","123142261","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","13.04","123687620.88","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","14.39","61332914.1","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","12.99","40856173.98","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AQ            ","Acquity Group Limited","6.02","141568788.2","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aq            ",
"AE","Adams Resources & Energy, Inc.","63","265708548","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","5.8","85018493.8","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADK^A","Adcare Health Systems Inc","27.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"API","Advanced Photonix, Inc.","0.4611","14368404.8817","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api",
"ACY","AeroCentury Corp.","20.28","32580975.96","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"AIM","Aerosonic Corporation","7.74","31117385.16","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aim",
"AA^","Alcoa Inc.","92","0","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AXX","Alderon Iron Ore Corp.","1.11","144460025.37","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx",
"AXU","Alexco Resource Corp","1.56","97615280.88","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"ANV","Allied Nevada Gold Corp.","7.57","679620307.84","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/anv",
"AAU","Almaden Minerals, Ltd.","1.55","93026847.55","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","1.61","31455412.03","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"ALTV","Alteva (D/B/A)","10.01","61606144.6","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv",
"DIT","AMCON Distributing Company","74.72","46559152.8","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"APP","American Apparel Inc","2","215526206","n/a","1994","Finance","Business Services","http://www.nasdaq.com/symbol/app",
"ADGE","American DG Energy Inc.","1.78","86313504.74","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge",
"ALN","American Lorain Corporation","1.0806","37406821.1484","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","1.939","8930781.93","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AQQ","American Spectrum Realty, Inc.","3.1701","11310216.2079","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aqq",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.22","10959260.84","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AGX","Argan, Inc.","16.82","235048180.14","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/agx",
"ARR/WS","ARMOUR Residential REIT, Inc.","0.02","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arr/ws",
"HRT","Arrhythmia Research Technology Inc.","2.49","6948379.86","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AKG","Asanko Gold Inc.","2.36","200681037.68","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"ATL","Atlatsa Resources Corporation","0.2","40377694.6","n/a","1986","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/atl",
"AZC","Augusta Resource Corporation","2.59","373854575.64","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/azc",
"AZK","Aurizon Mines, Ltd.","3.9","642869670.3","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/azk",
"AWX","Avalon Holdings Corporation","3.54","11296494","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVL","Avalon Rare Metals, Inc.","0.99","102759016.14","n/a","1980","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/avl",
"ASM","Avino Silver","0.9501","26064980.6934","n/a","1992","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BONE","Bacterin International Holdings, Inc.","0.7803","33367675.5072","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bone",
"BTN","Ballantyne Strong, Inc","4.11","57954275.67","n/a","1995","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BKJ","Bancorp of New Jersey, Inc","13.3","70382695.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BCV","Bancroft Fund Limited","18.08","96580684.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv",
"BAA","BANRO CORPORATION","1.11","279831745.92","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"BHB","Bar Harbor Bankshares, Inc.","35.94","141177675.06","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BRN","Barnwell Industries, Inc.","3.18","26321368.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BXE","Bellatrix Exploration Ltd","5.91","637803234.39","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bxe",
"BIR^A","Berkshire Income Realty, Inc.","28.45","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bir^a",
"BTX","BioTime, Inc.","4.1","228488002.1","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"BMJ","Birks & Mayors Inc.","0.87","12905241.57","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bmj",
"BZM","BlackRock Maryland Municipal Bond Trust","16.6099","34412108.4517","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"BLE","BlackRock Municipal Income Trust II","16.81","393385686.85","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/ble",
